Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude
Sea Street Kotahena,2025-06-18,17:35,Serious Injury,Rear-end Collision,Failure to Yield,4,Lorry; Motorcycle; Bus; Three Wheeler,26-35,0,4,High,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Pamankada Junction,2023-08-07,08:21,Minor Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bicycle,36-45,0,3,Moderate,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529
Kotahena Junction,2025-07-27,09:41,Minor Injury,Rear-end Collision,Driver Negligence,1,Three Wheeler,26-35,0,4,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
Bauddhaloka Mawatha Havelock Town,2022-12-24,13:31,Minor Injury,Rear-end Collision,Distracted Driving,2,Bicycle; Bus,46-55,0,4,Low,"Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo, Sri Lanka",6.897011,79.8598172
Fort Railway Station Area,2023-04-18,07:18,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,36-45,0,2,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Bambalapitiya Junction,2025-04-08,10:12,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Bus,26-35,0,1,Moderate,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
"Junction of Ingurukade Road and Stace Road, Dematagoda, Colombo 09",2025-03-08,07:54,Minor Injury,Rear-end Collision,Reckless Driving,2,Bus; Motorcycle,46-55,0,2,Moderate,"Junction of Ingurukade Road and Stace Road, Dematagoda, Colombo 09, Colombo, Sri Lanka","Junction of Ingurukade Road and Stace Road, Dematagoda, Colombo 09, Colombo, Sri Lanka","Stace Rd, Colombo, Sri Lanka",6.9447849,79.8746461
Borella Junction,2024-06-20,09:38,Minor Injury,Side-impact Collision,Distracted Driving,1,Three Wheeler,26-35,0,2,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Hulftsdorp Junction,2022-08-30,17:14,Serious Injury,Motorcycle Collision,Poor Visibility,3,Motorcycle; Three Wheeler; Car,18-25,0,6,High,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161
Maradana Junction,2023-05-13,09:54,Minor Injury,Multi-vehicle Collision,Driver Negligence,2,Motorcycle; Car,26-35,0,3,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Kochchikade Junction,2024-03-22,07:30,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,46-55,0,2,Low,"Kochchikade Junction, Colombo, Sri Lanka","Kochchikade Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243
Duplication Road Bambalapitiya,2024-05-24,22:23,Minor Injury,Multi-vehicle Collision,Drunk Driving,2,Three Wheeler; Van,46-55,0,2,Moderate,"Duplication Road Bambalapitiya, Colombo, Sri Lanka","Duplication Road Bambalapitiya, Colombo, Sri Lanka","450 E R. A. De Mel Mawatha, Colombo 00200, Sri Lanka",6.9024028,79.8545389
Darley Road Cinnamon Gardens,2025-11-16,11:26,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Three Wheeler; Van; Car,36-45,0,3,Low,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451
D R Wijewardena Mawatha Fort,2025-01-04,20:29,Minor Injury,Motorcycle Collision,Driver Negligence,1,Motorcycle,36-45,0,2,Low,"D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9324236,79.8505139
Kotahena Junction,2025-09-08,20:04,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Three Wheeler; Motorcycle; Car,36-45,0,3,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
Colombo Fort Bus Stand Area,2023-08-31,18:18,Minor Injury,Motorcycle Collision,Driver Negligence,4,Motorcycle; Three Wheeler; Bus; Car,26-35,0,3,Low,"Colombo Fort Bus Stand Area, Colombo, Sri Lanka","Colombo Fort Bus Stand Area, Colombo, Sri Lanka","WVM4+6G8 Bastian Mawatha Bus Station, Olcott Mawatha, Colombo, Sri Lanka",6.932847,79.856589
Pamankada Junction,2022-03-29,20:33,Serious Injury,Head-on Collision,Distracted Driving,3,Motorcycle; Bicycle; Van,56+,0,6,High,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529
High Level Road Kirulapone,2023-08-19,14:50,Minor Injury,Side-impact Collision,Mechanical Failure,2,Bicycle; Three Wheeler,56+,0,1,Low,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Pamankada Junction,2023-07-22,06:38,Minor Injury,Multi-vehicle Collision,Pedestrian Negligence,2,Bus; Lorry,36-45,0,3,Low,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529
Hulftsdorp Junction,2023-07-12,18:45,Fatal,Pedestrian Collision,Reckless Driving,2,Motorcycle; Car,56+,1,5,Moderate,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161
Hulftsdorp Junction,2024-07-12,07:17,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,26-35,0,1,Low,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161
Slave Island Junction,2022-07-11,09:27,Serious Injury,Rear-end Collision,Distracted Driving,1,Three Wheeler,26-35,0,2,Moderate,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123
