Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude,conditions,precip,visibility,humidity,cloudcover,sunrise,sunset,weather_condition_label,visibility_level
Sea Street Kotahena,2025-06-18,17:35,Serious Injury,Rear-end Collision,Failure to Yield,4,Lorry; Motorcycle; Bus; Three Wheeler,26-35,0,4,High,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,"Rain, Partially cloudy",0.022,6.9,78.1,20.8,2025-06-18T05:56:12,2025-06-18T18:27:37,Light Rain,Good
Pamankada Junction,2023-08-07,08:21,Minor Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bicycle,36-45,0,3,Moderate,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529,Partially cloudy,0.0,8.8,78.9,68.4,2023-08-07T06:04:48,2023-08-07T18:28:15,Partially Cloudy,Good
Kotahena Junction,2025-07-27,09:41,Minor Injury,Rear-end Collision,Driver Negligence,1,Three Wheeler,26-35,0,4,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,Partially cloudy,0.0,6.8,77.3,32.4,2025-07-27T06:04:03,2025-07-27T18:30:27,Partially Cloudy,Good
Bauddhaloka Mawatha Havelock Town,2022-12-24,13:31,Minor Injury,Rear-end Collision,Distracted Driving,2,Bicycle; Bus,46-55,0,4,Low,"Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo, Sri Lanka",6.897011,79.8598172,Partially cloudy,0.0,6.5,82.8,27.0,2022-12-24T06:18:32,2022-12-24T18:01:46,Partially Cloudy,Good
Fort Railway Station Area,2023-04-18,07:18,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,36-45,0,2,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999,Partially cloudy,0.0,8.1,78.7,37.4,2023-04-18T06:01:29,2023-04-18T18:18:54,Partially Cloudy,Good
Bambalapitiya Junction,2025-04-08,10:12,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Bus,26-35,0,1,Moderate,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,Partially cloudy,0.0,7.1,71.3,24.1,2025-04-08T06:05:38,2025-04-08T18:19:33,Partially Cloudy,Good
"Junction of Ingurukade Road and Stace Road, Dematagoda, Colombo 09",2025-03-08,07:54,Minor Injury,Rear-end Collision,Reckless Driving,2,Bus; Motorcycle,46-55,0,2,Moderate,"Junction of Ingurukade Road and Stace Road, Dematagoda, Colombo 09, Colombo, Sri Lanka","Junction of Ingurukade Road and Stace Road, Dematagoda, Colombo 09, Colombo, Sri Lanka","Stace Rd, Colombo, Sri Lanka",6.9447849,79.8746461,Clear,0.0,5.6,70.0,8.9,2025-03-08T06:20:28,2025-03-08T18:22:34,Clear,Moderate
Borella Junction,2024-06-20,09:38,Minor Injury,Side-impact Collision,Distracted Driving,1,Three Wheeler,26-35,0,2,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,"Rain, Partially cloudy",0.369,7.0,82.9,84.2,2024-06-20T05:56:39,2024-06-20T18:28:06,Light Rain,Good
Hulftsdorp Junction,2022-08-30,17:14,Serious Injury,Motorcycle Collision,Poor Visibility,3,Motorcycle; Three Wheeler; Car,18-25,0,6,High,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161,"Rain, Partially cloudy",0.938,8.0,86.9,37.1,2022-08-30T06:03:34,2022-08-30T18:19:10,Light Rain,Good
Maradana Junction,2023-05-13,09:54,Minor Injury,Multi-vehicle Collision,Driver Negligence,2,Motorcycle; Car,26-35,0,3,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,"Rain, Partially cloudy",0.093,8.0,79.3,57.6,2023-05-13T05:54:21,2023-05-13T18:19:52,Light Rain,Good
Kochchikade Junction,2024-03-22,07:30,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,46-55,0,2,Low,"Kochchikade Junction, Colombo, Sri Lanka","Kochchikade Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243,"Rain, Partially cloudy",0.044,6.3,81.4,66.5,2024-03-22T06:13:45,2024-03-22T18:21:18,Light Rain,Good
Duplication Road Bambalapitiya,2024-05-24,22:23,Minor Injury,Multi-vehicle Collision,Drunk Driving,2,Three Wheeler; Van,46-55,0,2,Moderate,"Duplication Road Bambalapitiya, Colombo, Sri Lanka","Duplication Road Bambalapitiya, Colombo, Sri Lanka","450 E R. A. De Mel Mawatha, Colombo 00200, Sri Lanka",6.9024028,79.8545389,"Rain, Partially cloudy",0.185,6.1,85.1,70.4,2024-05-24T05:53:26,2024-05-24T18:21:50,Light Rain,Good
Darley Road Cinnamon Gardens,2025-11-16,11:26,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Three Wheeler; Van; Car,36-45,0,3,Low,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451,Rain,0.052,6.7,74.9,18.1,2025-11-16T06:01:22,2025-11-16T17:49:31,Light Rain,Good
D R Wijewardena Mawatha Fort,2025-01-04,20:29,Minor Injury,Motorcycle Collision,Driver Negligence,1,Motorcycle,36-45,0,2,Low,"D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9324236,79.8505139,Partially cloudy,0.0,6.3,73.9,58.6,2025-01-04T06:23:41,2025-01-04T18:07:43,Partially Cloudy,Good
Kotahena Junction,2025-09-08,20:04,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Three Wheeler; Motorcycle; Car,36-45,0,3,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,Partially cloudy,0.04,7.0,71.2,37.0,2025-09-08T06:02:17,2025-09-08T18:14:27,Partially Cloudy,Good
Colombo Fort Bus Stand Area,2023-08-31,18:18,Minor Injury,Motorcycle Collision,Driver Negligence,4,Motorcycle; Three Wheeler; Bus; Car,26-35,0,3,Low,"Colombo Fort Bus Stand Area, Colombo, Sri Lanka","Colombo Fort Bus Stand Area, Colombo, Sri Lanka","WVM4+6G8 Bastian Mawatha Bus Station, Olcott Mawatha, Colombo, Sri Lanka",6.932847,79.856589,"Rain, Partially cloudy",1.538,7.5,88.8,85.9,2023-08-31T06:03:29,2023-08-31T18:18:48,Light Rain,Good
Pamankada Junction,2022-03-29,20:33,Serious Injury,Head-on Collision,Distracted Driving,3,Motorcycle; Bicycle; Van,56+,0,6,High,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529,Partially cloudy,0.0,6.3,86.5,20.2,2022-03-29T06:10:32,2022-03-29T18:20:34,Partially Cloudy,Good
High Level Road Kirulapone,2023-08-19,14:50,Minor Injury,Side-impact Collision,Mechanical Failure,2,Bicycle; Three Wheeler,56+,0,1,Low,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098,Partially cloudy,0.0,8.2,75.7,61.4,2023-08-19T06:04:38,2023-08-19T18:24:11,Partially Cloudy,Good
Pamankada Junction,2023-07-22,06:38,Minor Injury,Multi-vehicle Collision,Pedestrian Negligence,2,Bus; Lorry,36-45,0,3,Low,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529,Partially cloudy,0.0,8.1,79.3,46.5,2023-07-22T06:03:16,2023-07-22T18:31:02,Partially Cloudy,Good
Hulftsdorp Junction,2023-07-12,18:45,Fatal,Pedestrian Collision,Reckless Driving,2,Motorcycle; Car,56+,1,5,Moderate,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161,Partially cloudy,0.0,8.0,83.6,62.5,2023-07-12T06:01:26,2023-07-12T18:31:09,Partially Cloudy,Good
Hulftsdorp Junction,2024-07-12,07:17,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,26-35,0,1,Low,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161,"Rain, Partially cloudy",0.037,7.3,78.8,77.4,2024-07-12T06:01:36,2024-07-12T18:31:12,Light Rain,Good
Slave Island Junction,2022-07-11,09:27,Serious Injury,Rear-end Collision,Distracted Driving,1,Three Wheeler,26-35,0,2,Moderate,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123,"Rain, Partially cloudy",0.024,7.9,78.2,34.1,2022-07-11T06:01:16,2022-07-11T18:31:06,Light Rain,Good
Town Hall Area,2022-07-01,09:03,Minor Injury,Head-on Collision,Overspeeding,2,Car; Three Wheeler,56+,0,3,High,"Town Hall Area, Colombo, Sri Lanka","Town Hall Area, Colombo, Sri Lanka","Town Hall, Colombo 01000, Sri Lanka",6.9158502,79.8637861,Clear,0.0,8.1,77.8,18.0,2022-07-01T05:59:01,2022-07-01T18:30:03,Clear,Good
Messenger Street Pettah,2025-02-14,08:31,Serious Injury,Rear-end Collision,Driver Negligence,1,Bicycle,26-35,0,2,High,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811,Clear,0.0,6.4,70.3,9.3,2025-02-14T06:27:51,2025-02-14T18:22:00,Clear,Good
Fort Railway Station Area,2025-12-18,19:01,Minor Injury,Single Vehicle Crash,Overspeeding,1,Bus,26-35,0,4,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999,"Rain, Partially cloudy",0.115,6.7,82.7,42.3,2025-12-18T06:15:43,2025-12-18T17:58:58,Light Rain,Good
"No. 47 Sri Sangaraja Mawatha, Colombo 10",2025-02-06,18:51,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Lorry; Car; Three Wheeler,36-45,0,1,High,"No. 47 Sri Sangaraja Mawatha, Colombo 10, Colombo, Sri Lanka","No. 47 Sri Sangaraja Mawatha, Colombo 10, Colombo, Sri Lanka","47 Sri Sangaraja Mawatha, Colombo 01000, Sri Lanka",6.933855899999999,79.8647364,Clear,0.0,4.9,70.5,11.3,2025-02-06T06:29:04,2025-02-06T18:20:36,Clear,Moderate
Wellawatte Junction,2022-01-07,13:16,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,36-45,0,1,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,"Rain, Partially cloudy",0.024,7.5,82.0,24.7,2022-01-07T06:24:42,2022-01-07T18:09:04,Light Rain,Good
"Junction of Ward Place and D S Senanayake Mawatha (Baseline Road), Colombo 08",2023-08-30,22:49,Serious Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Three Wheeler,36-45,0,3,High,"Junction of Ward Place and D S Senanayake Mawatha (Baseline Road), Colombo 08, Colombo, Sri Lanka","Junction of Ward Place and D S Senanayake Mawatha (Baseline Road), Colombo 08, Colombo, Sri Lanka","Baseline Rd & D. S. Senanayake Mawatha, Colombo 00700, Sri Lanka",6.9147089,79.87752259999999,"Rain, Partially cloudy",0.389,7.5,83.8,68.4,2023-08-30T06:03:37,2023-08-30T18:19:18,Light Rain,Good
Union Place Slave Island,2022-12-09,09:09,Serious Injury,Multi-vehicle Collision,Driver Fatigue,3,Three Wheeler; Motorcycle; Bus,18-25,0,2,High,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057,"Rain, Partially cloudy",0.391,6.4,85.1,41.1,2022-12-09T06:10:59,2022-12-09T17:54:52,Light Rain,Good
High Level Road Kirulapone,2025-01-30,12:02,Minor Injury,Motorcycle Collision,Drunk Driving,3,Motorcycle; Van; Three Wheeler,36-45,0,3,Moderate,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098,"Rain, Partially cloudy",0.128,5.8,81.0,36.3,2025-01-30T06:29:20,2025-01-30T18:18:46,Light Rain,Moderate
