name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Colombo,2022-01-01,87.9,73.5,80.4,102.2,73.5,85.1,75.8,86.6,0.435,100,12.5,rain,0,0,19.9,10.3,48.2,1012.0,16.0,8.0,232.8,20.1,8,,2022-01-01T06:22:19,2022-01-01T18:06:01,0.95,Rain,Clear conditions throughout the day with rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-02,89.7,75.3,81.8,100.5,75.3,86.2,74.8,80.8,0.277,100,4.17,rain,0,0,22.8,12.8,42.0,1010.9,19.0,7.8,228.6,19.9,9,,2022-01-02T06:22:44,2022-01-02T18:06:32,0.98,Rain,Clear conditions throughout the day with afternoon rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-03,88.2,76.7,80.4,98.0,76.7,83.5,74.7,83.5,0.332,100,16.67,rain,0,0,25.5,16.1,38.7,1011.1,27.3,7.8,205.0,17.4,7,,2022-01-03T06:23:09,2022-01-03T18:07:02,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-04,86.4,74.9,80.5,93.7,74.9,83.8,73.7,80.9,0.0,0,0.0,,0,0,27.3,16.1,34.3,1011.5,15.2,7.8,208.9,18.1,8,,2022-01-04T06:23:33,2022-01-04T18:07:33,0.05,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-05,86.1,73.5,80.2,97.4,73.5,84.2,75.3,85.8,0.0,0,0.0,,0,0,25.3,12.8,26.6,1012.2,23.8,6.6,190.8,16.7,8,,2022-01-05T06:23:57,2022-01-05T18:08:04,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CEM00043486,43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43486099999,43466099999,CEM00043466"
Colombo,2022-01-06,93.3,75.3,83.2,103.1,75.3,89.0,75.1,78.4,0.012,100,4.17,rain,0,0,25.9,15.0,37.2,1010.2,19.8,7.7,212.7,18.3,7,,2022-01-06T06:24:19,2022-01-06T18:08:34,0.11,Rain,Clear conditions throughout the day with morning rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-07,91.5,75.3,82.2,102.2,75.3,87.3,75.5,82.0,0.024,100,4.17,rain,0,0,17.2,8.1,22.4,1011.1,24.7,7.5,244.8,21.1,8,,2022-01-07T06:24:42,2022-01-07T18:09:04,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"CEM00043486,43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43486099999,43466099999,CEM00043466"
Colombo,2022-01-08,89.9,75.3,82.2,100.5,75.3,86.8,74.5,79.2,0.044,100,4.17,rain,0,0,21.5,13.9,28.9,1011.7,35.5,7.0,251.1,21.7,9,,2022-01-08T06:25:03,2022-01-08T18:09:34,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-09,93.0,76.6,83.4,106.0,76.6,86.5,72.0,70.5,0.015,100,4.17,rain,0,0,21.5,16.1,41.3,1010.4,36.0,7.3,222.5,19.2,8,,2022-01-09T06:25:24,2022-01-09T18:10:04,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-10,87.9,75.3,81.1,98.0,75.3,85.4,74.8,81.8,0.003,0,0.0,rain,0,0,19.0,9.2,30.5,1010.5,29.7,7.2,156.7,13.4,7,10.0,2022-01-10T06:25:44,2022-01-10T18:10:33,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CEM00043486,43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43486099999,43466099999,CEM00043466"
Colombo,2022-01-11,89.7,73.5,81.8,102.2,73.5,86.9,74.2,79.3,0.003,0,0.0,rain,0,0,19.2,13.2,21.0,1010.3,21.5,7.5,238.2,20.7,8,30.0,2022-01-11T06:26:03,2022-01-11T18:11:02,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CEM00043486,43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43486099999,43466099999,CEM00043466"
Colombo,2022-01-12,87.9,73.5,81.2,100.2,73.5,87.7,76.7,87.0,0.177,100,4.17,rain,0,0,18.3,21.9,359.6,1010.5,12.7,7.3,243.2,21.2,9,30.0,2022-01-12T06:26:21,2022-01-12T18:11:31,0.31,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"CEM00043486,43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43486099999,43466099999,CEM00043466"
Colombo,2022-01-13,87.9,75.3,82.1,102.2,75.3,89.7,77.9,87.8,0.0,0,0.0,,0,0,13.9,9.2,214.1,1010.3,16.0,7.4,233.2,20.2,8,30.0,2022-01-13T06:26:38,2022-01-13T18:11:59,0.34,Clear,Clear conditions throughout the day.,clear-day,"CEM00043486,43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43486099999,43466099999,CEM00043466"
Colombo,2022-01-14,88.4,77.1,82.9,102.7,77.1,91.6,78.1,86.3,0.004,0,0.0,rain,0,0,15.0,8.1,272.2,1010.2,17.0,7.4,230.4,19.8,8,30.0,2022-01-14T06:26:55,2022-01-14T18:12:27,0.38,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-15,86.1,77.1,82.5,99.7,77.1,91.6,78.9,89.4,0.024,100,4.17,rain,0,0,16.3,6.9,290.0,1009.9,23.2,7.1,234.5,20.2,8,30.0,2022-01-15T06:27:11,2022-01-15T18:12:55,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"CEM00043486,43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43486099999,43466099999,CEM00043466"
Colombo,2022-01-16,91.5,73.5,82.5,105.4,73.5,88.1,75.5,81.1,0.15,100,4.17,rain,0,0,25.3,15.0,39.8,1010.6,16.9,7.5,242.1,20.8,8,60.0,2022-01-16T06:27:26,2022-01-16T18:13:21,0.44,Rain,Clear conditions throughout the day with morning rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-17,93.3,75.3,83.8,99.4,75.3,87.3,72.9,73.0,0.0,0,0.0,,0,0,21.7,15.0,47.4,1011.6,13.7,7.0,244.4,21.3,9,30.0,2022-01-17T06:27:40,2022-01-17T18:13:48,0.48,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-18,91.5,75.3,82.8,98.9,75.3,86.6,72.4,72.8,0.0,0,0.0,,0,0,24.8,15.0,43.6,1011.7,11.6,6.7,262.0,22.8,9,60.0,2022-01-18T06:27:53,2022-01-18T18:14:14,0.5,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-19,93.3,75.3,83.5,94.5,75.3,85.3,69.3,65.1,0.0,0,0.0,,0,0,27.3,16.1,36.8,1010.5,9.8,7.4,264.2,22.8,9,30.0,2022-01-19T06:28:05,2022-01-19T18:14:39,0.54,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-20,91.5,71.7,81.3,92.0,71.7,81.7,66.3,65.9,0.0,0,0.0,,0,0,25.9,13.9,31.4,1010.2,4.9,6.7,275.8,23.8,9,0.0,2022-01-20T06:28:17,2022-01-20T18:15:04,0.58,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-21,89.7,66.3,78.7,89.0,66.3,78.9,64.7,66.8,0.0,0,0.0,,0,0,21.9,8.1,4.2,1011.0,3.2,7.2,284.5,24.5,10,0.0,2022-01-21T06:28:27,2022-01-21T18:15:29,0.62,Clear,Clear conditions throughout the day.,clear-day,"CEM00043486,43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43486099999,43466099999,CEM00043466"
Colombo,2022-01-22,86.5,68.1,78.7,95.4,68.1,82.4,71.7,80.0,0.0,0,0.0,,0,0,19.9,6.9,322.7,1009.7,4.9,6.9,279.0,24.2,9,0.0,2022-01-22T06:28:37,2022-01-22T18:15:52,0.65,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-23,87.9,73.5,80.9,98.0,73.5,85.9,75.7,85.6,0.0,0,0.0,,0,0,17.4,10.3,232.2,1009.9,14.9,6.4,264.5,22.8,9,10.0,2022-01-23T06:28:45,2022-01-23T18:16:15,0.69,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
