date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01 00:00:00,27.4,23.7,31.4,0.3,,,4.2,,1012.3,
2022-01-02 00:00:00,27.6,24.6,32,0,,,5.7,,1011.3,
2022-01-03 00:00:00,26.8,24.5,32.1,7.6,,,6.2,,1010.9,
2022-01-04 00:00:00,27.3,23.4,31.3,7.4,,,6.7,,1011.7,
2022-01-05 00:00:00,27.3,24.1,31.1,,,,6.5,,1012.2,
2022-01-06 00:00:00,28.3,24.6,33.4,0,,,6.3,,1010.8,
2022-01-07 00:00:00,28.3,25.6,31.9,,,,3.9,,1011.4,
2022-01-08 00:00:00,27.8,24.9,31.8,,,,4.4,,1011.7,
2022-01-09 00:00:00,27,24.7,34.5,0,,,5.1,,1010.9,
2022-01-10 00:00:00,27.1,24.7,30.2,,,,4,,1010.8,
2022-01-11 00:00:00,27.4,24.5,30.5,,,,4.4,,1010.7,
2022-01-12 00:00:00,27.8,24.9,31,,,,4.1,,1010.7,
2022-01-13 00:00:00,28.3,24.9,32,0,,,3.1,,1010.8,
2022-01-14 00:00:00,28.3,25.1,32.1,0,,,3.3,,1010.6,
2022-01-15 00:00:00,28.4,25.5,31,,,,3.3,,1010.3,
2022-01-16 00:00:00,28.5,24.9,31.4,2.3,,,4,,1010.6,
2022-01-17 00:00:00,28,24.4,31.7,,,,4.8,,1012.1,
2022-01-18 00:00:00,28.1,24.5,32.4,,,,5.6,,1012,
2022-01-19 00:00:00,28.1,24.4,31.8,,,,6.8,,1010.8,
2022-01-20 00:00:00,27.8,23.9,31.9,,,,6.2,,1010.4,
2022-01-21 00:00:00,26,19.8,32.4,0,,,4.1,,1010.9,
2022-01-22 00:00:00,26.9,22.7,30.3,,,,3.7,,1010.2,
2022-01-23 00:00:00,27.1,23.2,30.1,,,,3.1,,1010.1,
2022-01-24 00:00:00,27.4,24.1,29.9,,,,3.3,,1009.5,
2022-01-25 00:00:00,27.4,24.4,30.1,,,,3.1,,1009.4,
2022-01-26 00:00:00,26.9,23.5,29.9,,,,3.2,,1009.7,
2022-01-27 00:00:00,27.4,23.5,30.9,,,,4.1,,1009.1,
2022-01-28 00:00:00,27.6,23.9,31,,,,4.6,,1009.7,
2022-01-29 00:00:00,28,24.7,31.4,,,,3.8,,1010.5,
2022-01-30 00:00:00,27.1,24.7,31.3,0,,,3.5,,1010.6,
2022-01-31 00:00:00,28.1,25.3,31.1,,,,3.1,,1010.1,
2022-02-01 00:00:00,28.2,24.7,31.8,,,,4.1,,1009.5,
2022-02-02 00:00:00,27.9,24.1,31.4,,,,4.1,,1010.1,
2022-02-03 00:00:00,26.3,23.1,30.7,0,,,3.4,,1010.8,
2022-02-04 00:00:00,27.7,23.3,30.8,0,,,3.2,,1009.7,
2022-02-05 00:00:00,27.7,23.8,30.6,,,,3.3,,1009.6,
2022-02-06 00:00:00,27.8,24.4,31.1,,,,4.1,,1011,
2022-02-07 00:00:00,27.4,23.9,31,,,,5.8,,1011.6,
2022-02-08 00:00:00,27.8,22.9,32.7,0,,,6.2,,1010.6,
2022-02-09 00:00:00,28,23.7,34.1,0,,,6.2,,1009.9,
2022-02-10 00:00:00,27.4,24.3,30.5,,,,5.2,,1009.6,
2022-02-11 00:00:00,27.5,25,30.7,,,,3.2,,1009.1,
2022-02-12 00:00:00,27.3,24.3,32.1,0.3,,,3.6,,1008.8,
2022-02-13 00:00:00,26.5,24.1,30.1,,,,5.2,,1008.2,
2022-02-14 00:00:00,27.3,24.3,33.1,0,,,5.6,,1007.9,
2022-02-15 00:00:00,27.6,24,31,,,,6.6,,1008.4,
