Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level
Sea Street Kotahena,2025-06-18,17:35,Serious Injury,Rear-end Collision,Failure to Yield,4,Lorry; Motorcycle; Bus; Three Wheeler,26-35,0,4,High
Pamankada Junction,2023-08-07,08:21,Minor Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bicycle,36-45,0,3,Moderate
Kotahena Junction,2025-07-27,09:41,Minor Injury,Rear-end Collision,Driver Negligence,1,Three Wheeler,26-35,0,4,Low
Bauddhaloka Mawatha Havelock Town,2022-12-24,13:31,Minor Injury,Rear-end Collision,Distracted Driving,2,Bicycle; Bus,46-55,0,4,Low
Fort Railway Station Area,2023-04-18,07:18,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,36-45,0,2,High
Bambalapitiya Junction,2025-04-08,10:12,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Bus,26-35,0,1,Moderate
"Junction of Ingurukade Road and Stace Road, Dematagoda, Colombo 09",2025-03-08,07:54,Minor Injury,Rear-end Collision,Reckless Driving,2,Bus; Motorcycle,46-55,0,2,Moderate
Borella Junction,2024-06-20,09:38,Minor Injury,Side-impact Collision,Distracted Driving,1,Three Wheeler,26-35,0,2,Low
Hulftsdorp Junction,2022-08-30,17:14,Serious Injury,Motorcycle Collision,Poor Visibility,3,Motorcycle; Three Wheeler; Car,18-25,0,6,High
Maradana Junction,2023-05-13,09:54,Minor Injury,Multi-vehicle Collision,Driver Negligence,2,Motorcycle; Car,26-35,0,3,Moderate
Kochchikade Junction,2024-03-22,07:30,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,46-55,0,2,Low
Duplication Road Bambalapitiya,2024-05-24,22:23,Minor Injury,Multi-vehicle Collision,Drunk Driving,2,Three Wheeler; Van,46-55,0,2,Moderate
Darley Road Cinnamon Gardens,2025-11-16,11:26,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Three Wheeler; Van; Car,36-45,0,3,Low
D R Wijewardena Mawatha Fort,2025-01-04,20:29,Minor Injury,Motorcycle Collision,Driver Negligence,1,Motorcycle,36-45,0,2,Low
Kotahena Junction,2025-09-08,20:04,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Three Wheeler; Motorcycle; Car,36-45,0,3,Low
Colombo Fort Bus Stand Area,2023-08-31,18:18,Minor Injury,Motorcycle Collision,Driver Negligence,4,Motorcycle; Three Wheeler; Bus; Car,26-35,0,3,Low
Pamankada Junction,2022-03-29,20:33,Serious Injury,Head-on Collision,Distracted Driving,3,Motorcycle; Bicycle; Van,56+,0,6,High
High Level Road Kirulapone,2023-08-19,14:50,Minor Injury,Side-impact Collision,Mechanical Failure,2,Bicycle; Three Wheeler,56+,0,1,Low
Pamankada Junction,2023-07-22,06:38,Minor Injury,Multi-vehicle Collision,Pedestrian Negligence,2,Bus; Lorry,36-45,0,3,Low
Hulftsdorp Junction,2023-07-12,18:45,Fatal,Pedestrian Collision,Reckless Driving,2,Motorcycle; Car,56+,1,5,Moderate
Hulftsdorp Junction,2024-07-12,07:17,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,26-35,0,1,Low
Slave Island Junction,2022-07-11,09:27,Serious Injury,Rear-end Collision,Distracted Driving,1,Three Wheeler,26-35,0,2,Moderate
